site_name,butterfly_code,genus_sp,forest_type
pr09,130,Colobura_dirce,primary
pr09,131,Archaeoprepona_demophon,primary
pr09,132,Archaeoprepona_demophon,primary
pr10,133,Temenis_laothoe,primary
pr10,134,Hypna_clytemnestra,primary
pr10,135,Archaeoprepona_demophon,primary
pr10,136,Catonephele_orites,primary
pr10,137,Temenis_laothoe,primary
pr10,138,Adelpha _,primary
pr11,139,Archaeoprepona_amphimachus,primary
pr11,140,Archaeoprepona_meander,primary
pr11,141,Catoblepia_soranus,primary
pr11,142,Morpho_helenor,primary
pr11,143,Taygetis_cleopatra,primary
pr12,144,Colobura_dirce,primary
pr12,145,Opsiphanes_cassiae,primary
pr12,146,Chloreuptychia_herseis,primary
pr12,147,Temenis_laothoe,primary
pr12,148,Taygetis_cleopatra,primary
pr12,149,Temenis_laothoe,primary
pr12,150,Archaeoprepona_demophon,primary
pr11,151,Catoblepia_soranus,primary
pr11,152,Opsiphanes_invirae,primary
pr11,153,Magneuptychia_fugitiva,primary
pr11,154,Catoblepia_soranus,primary
pr13,155,Heliconius _numata,primary
pr13,156,Morpho_menelaus,primary
pr13,157,Colobura_dirce,primary
pr13,158,Morpho_helenor,primary
pr13,159,Catonephele_orites,primary
pr13,160,Colobura_dirce,primary
pr13,161,Catoblepia_soranus,primary
pr13,162,Catoblepia_soranus,primary
pr14,163,Tigridia_acesta,primary
pr14,164,Taygetis_cleopatra,primary
pr14,165,Colobura_dirce,primary
pr14,166,Archaeoprepona_demophon,primary
pr14,167,Archaeoprepona_demophon,primary
pr14,168,Colobura_dirce,primary
pr13,172,Nessaea_obrinus,primary
pr13,173,Heliconius _numata,primary
pr13,174,Prepona_pheridamas,primary
pr13,175,Taygetis_cleopatra,primary
pr19,178,Zaretis_itys,primary
pr19,179,Morpho_helenor,primary
pr19,180,Zaretis_isidora,primary
pr19,181,Prepona_pheridamas,primary
pr19,182,Colobura_dirce,primary
pr19,183,Archaeoprepona_amphimachus,primary
pr19,184,Tigridia_acesta,primary
pr20,185,Archaeoprepona_meander,primary
pr09,187,Opsiphanes_invirae,primary
pr09,188,Archaeoprepona_demophon,primary
pr09,189,Catonephele_orites,primary
pr09,190,Morpho_helenor,primary
pr10,191,Archaeoprepona_licomedes,primary
pr10,192,Bia_actorion,primary
pr10,193,Archaeoprepona_licomedes,primary
pr10,194,Catoblepia_soranus,primary
pr10,196,Zaretis_isidora,primary
pr10,197,Heliconius _wallacei,primary
pr10,198,Catonephele_orites,primary
pr10,199,Catonephele_orites,primary
pr11,200,Zaretis_isidora,primary
pr11,201,Catoblepia_soranus,primary
pr11,202,Taygetis_cleopatra,primary
pr11,203,Nessaea_obrinus,primary
pr11,204,Catoblepia_berecynthia,primary
pr11,205,Archaeoprepona_licomedes,primary
pr12,206,Temenis_laothoe,primary
pr12,207,Chloreuptychia_agatha,primary
pr12,208,Taygetis_sosis,primary
pr12,210,Prepona_pheridamas,primary
pr12,209,Nessaea_obrinus,primary
pr12,212,Archaeoprepona_demophon,primary
pr12,213,Prepona_pheridamas,primary
pr12,214,Pyrrhogyra_edocla,primary
pr12,215,Colobura_dirce,primary
pr12,216,Catoblepia_berecynthia,primary
pr12,217,Tigridia_acesta,primary
pr12,218,Cartea_vitula,primary
pr11,219,Catoblepia_berecynthia,primary
pr11,220,Heliconius _numata,primary
pr11,221,Euselasia_orba,primary
pr13,222,Prepona_pheridamas,primary
pr14,224,Morpho_menelaus,primary
pr14,225,Prepona_pheridamas,primary
pr14,226,Colobura_dirce,primary
pr14,227,Memphis_,primary
pr13,228,Pseudodebis_valentina,primary
pr13,229,Opsiphanes_cassiae,primary
pr13,230,Catoblepia_soranus,primary
pr13,233,Archaeoprepona_demophon,primary
pr13,234,Tigridia_acesta,primary
pr19,235,Prepona_amydon,primary
pr19,236,Colobura_dirce,primary
pr19,237,Colobura_dirce,primary
pr19,238,Colobura_dirce,primary
pr19,239,Archaeoprepona_demophon,primary
pr20,241,Catonephele_orites,primary
pr20,242,Opsiphanes_invirae,primary
pr20,243,Archaeoprepona_demophoon ,primary
pr20,244,Catonephele_orites,primary
pr20,245,Catonephele_orites,primary
